"V1","V2"
-1290,-1431
-1120,-1341
-890,-1031
-870,-901
-720,-701
-630,-1071
-610,-1231
-780,-1431
-1230,-1811
-1540,-1981
-2320,-2431
-2890,-2901
-3830,-4121
-2360,-5011
-920,-5581
-540,-5741
-430,-5671
-410,-5541
-210,-5141
-180,-4411
-180,-3761
710,-4581
1220,-5011
1570,-5071
2370,-4521
2840,-4211
3170,-3831
3790,-3341
3790,-3181
3170,-2521
2790,-2361
2640,-2411
2570,-2301
2930,-1941
3420,-1611
3640,-1501
3710,-1361
3880,-1101
3750,-411
3440,419
3260,839
2970,1389
2750,1789
2420,2259
2110,2569
1970,2439
1790,2389
1640,2259
1190,1859
1170,1679
910,1819
820,1699
680,2219
640,2369
620,2459
530,2679
390,2929
370,2929
-830,2769
-2120,2639
-2920,2369
-3920,1789
-3830,1389
-4140,1389
-4340,1189
-4030,1129
-2940,-501
-2430,-1141
-2180,-1301
-2010,-411
-1690,-1321
-1520,-1411
