   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .143E+04  .6019E+04   .   .   .   .  .22E+02  .23E+02  .5510836E+02  .206654E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .129E+04  .5839E+04   .   .   .   .  .21E+02  .22E+02  .2786378E+02  .157195E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .138E+04  .5659E+04   .   .   .   .  .21E+02  .22E+02  .4396285E+02  .1556614E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .128E+04  .5619E+04   .   .   .   .  .21E+02  .21E+02  .4458204E+02  .1675469E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .136E+04  .5389E+04   .   .   .   .  .21E+02  .21E+02  .5077399E+02  .3814855E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .94E+03  .5349E+04   .   .   .   .  .2E+02  .2E+02  .5882353E+02  .6303137E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .88E+03  .5499E+04   .   .   .   .  .2E+02  .21E+02  .5696594E+02  .3492797E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .78E+03  .5579E+04   .   .   .   .  .19E+02  .21E+02  .1733746E+02  .5482656E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .52E+03  .5439E+04   .   .   .   .  .19E+02  .21E+02  .25387E+02  .2292747E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   .  .32E+03  .5389E+04   .   .   .   .  .18E+02  .21E+02  .3839009E+02  .1762885E+04   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -1.  .3549E+04 -.28E+03  .156E+04   .   . -.5E+03  .5679E+04   .   .   .   .  .15E+02  .22E+02  .3467492E+02  .8388847E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
