"V1","V2"
650,-2771
650,-2721
360,-2471
620,-2231
1090,-2521
1730,-2791
2400,-2901
2850,-2231
3000,-2011
3220,-1611
3220,-1431
3470,-1271
3400,-991
3980,-501
3800,-301
3470,-211
2980,-321
2730,-541
3130,279
3490,769
3490,789
3310,1809
3220,2259
3000,2839
2690,3529
2310,4079
1980,4639
1600,4279
1310,3899
1000,3409
780,2879
730,2549
960,2369
580,2569
290,3129
-290,4079
-730,4569
-890,4639
-1730,4459
-2200,4389
-2840,4259
-3420,4149
-3890,3839
-3840,3839
-4270,3439
-4420,3129
-4270,2809
-4040,2259
-4150,2099
-3890,1859
-3710,1499
-3310,1099
-2730,809
-2070,729
-2130,479
-1730,409
-2270,349
-3000,-141
-3020,-341
-3470,-701
-3440,-671
-3950,-1031
-4580,-2141
-4600,-2471
-4470,-2651
-3950,-2921
-2910,-3341
-1870,-3721
-1910,-3701
-750,-3961
-310,-4071
290,-4301
470,-4071
580,-3831
650,-3671
