   1   30    0    1    2   30
222222222222222222222222222222
"MAPNUM" "MINLAT" "MAXLAT" "MINLON" "MAXLON" "LABLAT" "LABLON" "XRED" "YRED" "XGREEN" "YGREEN" "XDOUBLE" "YDOUBLE" "XGRID" "YGRID" "PERIM" "AREA" "GRIDX" "GRIDY" "XGRIDCOO" "YGRIDCOO" "BOXSIZEX" "BOXSIZEY" "COMPLETE" "TOTALCEL" "TOTALRED" "TOTALGRE" "TOTALDOU" "MEANPERI" "MEANAREA"  
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .125E+04 -.2311E+04   .   .   .   .  .17E+02  8.  .3839009E+02  .3189909E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .126E+04 -.2261E+04   .   .   .   .  .17E+02  8.  .3343653E+02  .8243154E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .129E+04 -.2211E+04   .   .   .   .  .17E+02  8.  .2786378E+02  .8626556E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .117E+04 -.2061E+04   .   .   .   .  .17E+02  8.  .2972136E+02  .2062706E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .13E+04 -.2091E+04   .   .   .   .  .17E+02  8.  .2972136E+02  .1805826E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .132E+04 -.2471E+04   .   .   .   .  .17E+02  7.  .377709E+02  .6502507E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .92E+03 -.2241E+04   .   .   .   .  .16E+02  8.  .4520124E+02  .790576E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .9E+03 -.2311E+04   .   .   .   .  .16E+02  8.  .3157895E+02  .1341909E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .101E+04 -.2321E+04   .   .   .   .  .16E+02  7.  .3529412E+02  .3055718E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .95E+03 -.2481E+04   .   .   .   .  .16E+02  7.  .3653251E+02  .3120896E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .89E+03 -.2091E+04   .   .   .   .  .16E+02  8.  .4086687E+02  .6552349E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .78E+03 -.2441E+04   .   .   .   .  .15E+02  7.  .3529412E+02  .5214274E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .84E+03 -.2371E+04   .   .   .   .  .15E+02  7.  .2662539E+02  .487688E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .64E+03 -.2381E+04   .   .   .   .  .15E+02  7.  .2786378E+02  .2304249E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .69E+03 -.2231E+04   .   .   .   .  .15E+02  8.  .3962848E+02  .5359967E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .63E+03 -.2181E+04   .   .   .   .  .15E+02  8.  .3962848E+02  .3987386E+02   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .57E+03 -.2201E+04   .   .   .   .  .14E+02  8.  .3219814E+02  .2407768E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
 5. -.3041E+04 -.1171E+04  .196E+04  .3E+04   .   .  .58E+03 -.2121E+04   .   .   .   .  .14E+02  8.  .6130031E+02  .6245627E+03   .   .   .   .   .   .   .   .   .   .   .   .   . 
