"V1","V2"
1570,-731
1570,-881
1810,-1011
2170,-1261
2590,-1571
2770,-1811
2950,-2081
2990,-2191
3170,-2191
3170,-2301
3170,-2531
3260,-2661
3260,-2791
3300,-2861
3330,-2971
3370,-2991
3440,-3081
3390,-3241
3240,-3331
3080,-3331
3060,-3531
3100,-3681
3240,-3841
3210,-3951
3190,-4041
2990,-4171
2680,-4191
2570,-4241
2240,-4241
2100,-4191
1970,-4261
1660,-4331
1390,-4331
1080,-4351
770,-4501
500,-4611
300,-4731
210,-4611
10,-4481
-70,-4481
-160,-4571
-70,-4701
-190,-4841
-320,-4931
-470,-4681
-630,-4551
-830,-4411
-940,-4281
-1070,-4211
-1160,-4081
-1270,-3881
-1270,-3701
-1430,-3461
-1540,-3501
-1670,-3611
-1760,-3751
-1940,-3901
-2050,-3971
-2270,-4191
-2430,-4461
-2590,-4681
-2720,-4861
-2810,-4861
-2850,-4751
-3010,-4571
-3210,-4261
-3270,-4081
-3470,-3811
-3740,-3461
-3760,-3171
-3940,-3131
-4030,-3061
-4140,-2881
-4190,-2751
-4210,-2701
-4300,-2531
-4390,-2371
-4470,-2081
-4590,-1701
-4670,-1411
-4740,-1261
-4760,-1081
-4790,-931
-4740,-811
-4700,-771
-4610,-731
-4430,-611
-4230,-551
-4160,-411
-4070,-351
-4070,-151
-4140,-81
-4190,9
-4210,49
-4410,209
-4540,359
-4670,609
-4630,849
-4590,1009
-4430,1139
-4340,1319
-4010,1699
-3900,1939
-3650,2229
-3430,2409
-3160,2609
-2870,2869
-2740,3029
-2630,3209
-2470,3299
-2320,3299
-2120,3189
-1740,2989
-1250,2849
-960,2739
-590,2609
-390,2539
-320,2449
-100,2429
-140,2539
-30,2669
-70,2869
-70,2989
-30,3159
10,3339
80,3539
210,3829
300,3899
570,3939
700,4029
840,4159
1010,4189
1260,4119
1330,4119
1500,4139
1640,4009
1610,3829
1790,3759
2170,3519
2500,3299
2730,3159
3040,3029
3240,2869
3460,2739
3590,2649
3750,2409
3930,2189
3950,2049
3790,1899
3810,1719
3700,1559
3610,1339
3530,1049
3410,919
3280,739
3150,589
2840,189
2570,-81
2210,-351
1900,-571
1610,-771
