"V1","V2"
140,2609
250,2479
430,2369
560,2239
720,2169
850,2189
870,2299
740,2439
740,2639
780,2899
980,3079
1090,3259
1160,3369
1210,3389
1410,3409
1580,3499
1760,3589
1920,3319
2050,3079
2250,2839
2450,2659
2580,2459
2740,2169
2960,1949
3120,1749
3230,1639
3380,1479
3540,1279
3690,1059
3810,879
3960,789
3980,679
3850,389
3650,189
3470,59
3320,-31
3160,-121
2920,-281
2650,-411
2290,-481
1940,-451
1610,-451
1430,-411
1250,-411
1140,-451
1340,-541
1520,-721
1690,-921
1810,-1141
1940,-1391
2030,-1561
2050,-1611
2160,-1921
2250,-2411
2270,-2941
2160,-3191
2160,-3451
2120,-3701
2090,-3851
1650,-3721
1210,-3721
810,-3631
470,-3561
230,-3541
10,-3521
-130,-3391
-190,-3301
-220,-3281
-440,-3011
-570,-2631
-680,-2451
-950,-2741
-1190,-3011
-1390,-3161
-1570,-3231
-1730,-2991
-1950,-2701
-2260,-2361
-2480,-1991
-2710,-1681
-2880,-1451
-3040,-1141
-3130,-881
-2990,-721
-2840,-541
-2750,-391
-2710,-221
-2510,79
-2150,329
-2550,509
-3080,629
-3040,969
-2810,1229
-2800,1679
-2270,2419
-1890,2719
-1170,3299
-720,3139
10,2669
