"V1","V2"
150,4039
550,3539
820,3099
1050,2499
1050,2769
1220,3299
1320,3669
1650,4139
1890,4299
2220,4939
2350,4899
2690,4569
3250,4239
4020,3299
4490,2499
4820,1839
4990,1439
4920,1269
4620,799
4320,399
4050,39
3950,-161
3820,-161
3650,-331
3450,-361
3690,-461
3950,-501
4020,-531
3990,-731
4120,-661
4850,-801
5750,-1001
4950,-2001
4220,-3101
3650,-3731
3050,-3831
2290,-3631
2150,-3461
1790,-3131
2050,-3701
1850,-3661
1490,-3231
1290,-3331
1490,-3401
1490,-3701
1450,-4631
1350,-5061
1150,-5201
850,-4931
550,-4701
150,-4531
-550,-4301
-910,-4101
-1310,-4061
-1750,-3861
-1950,-3661
-2280,-3601
-2410,-3461
-2610,-3361
-2910,-3161
-2950,-2901
-2880,-2461
-2710,-2031
-2350,-1531
-2050,-1061
-1780,-761
-1410,-401
-1250,-231
-810,-1
-810,39
-1210,-161
-1980,69
-2710,469
-3010,699
-3510,1169
-3980,1569
-4250,2069
-4310,2539
-4150,2769
-3850,3039
-3180,3599
-2450,3969
-1980,4169
-1450,4399
-1180,4599
-910,4739
-250,4399
220,3999
