"V1","V2"
-1733.34531515288,424.076443787096
-1690,449
-1490,739
-1470,819
-2180,669
-2670,1399
-2960,1709
-3110,1799
-3290,2559
-3290,3669
-3090,4359
-2620,4509
-1940,4509
-1250,4599
-420,4509
40,4539
840,4249
1510,3819
1730,2689
3150,3449
3420,2069
3660,559
3660,69
3530,-911
3310,-1041
3060,-1241
2950,-1261
2860,-1311
2350,-1531
1820,-1621
1840,-1711
2820,-2931
1710,-3531
820,-3821
-20,-3821
-690,-3641
-690,-3131
-690,-2581
-650,-2181
-1000,-2731
-1650,-3241
-2110,-3441
-2360,-3441
-4820,-1181
-4220,-621
-3580,-351
-2800,-131
-2090,219
