"V1","V2"
1530.91542161613,-771.476126582234
1580,-781
2180,-781
2890,-671
3910,19
4020,309
4070,399
3220,1459
2510,2039
1620,2439
980,2689
20,2779
-650,2749
-780,1799
-850,1039
-600,529
-380,219
-580,439
-1090,579
-2220,979
-2650,979
-3000,909
-3290,-141
-3470,-871
-3450,-1311
-3450,-2111
-3270,-2981
-2400,-2541
-2160,-2291
-1800,-2341
-1330,-2161
-800,-2051
-1110,-2361
-1180,-2601
-1250,-2891
-1310,-3021
-1470,-3051
-1470,-3401
-1270,-4291
-710,-4361
180,-4491
220,-4251
750,-3581
600,-4451
710,-4541
1110,-4291
2980,-3541
2310,-2251
1780,-1491
1580,-1161
910,-651
