"V1","V2"
127.434164902526,2854.81138830084
80,2839
-460,2949
-990,3089
-1190,3219
-1390,3569
-1390,3889
-1700,4329
-1880,4619
-1860,4889
-1500,5199
-990,5639
-700,6019
-300,6399
-80,6659
120,6659
410,6509
990,6219
1210,6109
1370,6459
1610,6859
1830,7059
1880,7059
2120,7059
2390,6889
2700,6709
2720,6689
3080,6419
3280,6199
3610,6089
3830,5799
4100,5639
4140,5239
4050,4839
3880,4569
3920,4489
3830,4199
3740,4109
3650,4059
3720,3689
3990,3569
4410,3349
4700,3059
4630,2909
4570,2689
4480,2549
4280,2439
4120,2089
3900,1799
3790,1639
3720,1369
3480,1289
3230,1219
2830,1219
2080,1529
2190,1349
2230,859
2190,729
2210,709
2280,689
2320,509
2230,219
1810,259
990,129
300,19
-60,-1
-210,259
-350,1019
-280,1599
-60,2039
250,2459
480,2639
320,2709
410,2949
