-990.00	819.00	.	.
-230.00	-71.00	.	.
-280.00	-211.00	.	.
-240.00	-221.00	.	.
-140.00	-141.00	.	.
-110.00	-111.00	.	.
-70.00	-71.00	.	.
-80.00	-161.00	.	.
-40.00	-161.00	.	.
-90.00	-211.00	.	.
-30.00	-221.00	.	.
40.00	-151.00	.	.
80.00	-131.00	.	.
50.00	-171.00	.	.
0.00	-131.00	.	.
20.00	-121.00	.	.
-20.00	-51.00	.	.
170.00	-201.00	.	.
260.00	-141.00	.	.
290.00	-221.00	.	.
120.00	-111.00	.	.
190.00	-281.00	.	.
170.00	-321.00	.	.
130.00	-351.00	.	.
140.00	-401.00	.	.
140.00	-421.00	.	.
230.00	-421.00	.	.
180.00	-401.00	.	.
210.00	-401.00	.	.
300.00	-361.00	.	.
300.00	-431.00	.	.
130.00	-261.00	.	.
100.00	-241.00	.	.
110.00	-411.00	.	.
110.00	-421.00	.	.
110.00	-491.00	.	.
-20.00	-251.00	.	.
-50.00	-261.00	.	.
-20.00	-291.00	.	.
20.00	-301.00	.	.
50.00	-281.00	.	.
50.00	-311.00	.	.
70.00	-331.00	.	.
30.00	-351.00	.	.
0.00	-351.00	.	.
10.00	-391.00	.	.
-10.00	-401.00	.	.
40.00	-431.00	.	.
50.00	-411.00	.	.
80.00	-441.00	.	.
50.00	-451.00	.	.
50.00	-481.00	.	.
-40.00	-481.00	.	.
-60.00	-441.00	.	.
-40.00	-411.00	.	.
-50.00	-371.00	.	.
-40.00	-331.00	.	.
-80.00	-281.00	.	.
-100.00	-241.00	.	.
-110.00	-251.00	.	.
-150.00	-281.00	.	.
-140.00	-281.00	.	.
-200.00	-281.00	.	.
-190.00	-331.00	.	.
-140.00	-351.00	.	.
-110.00	-381.00	.	.
-90.00	-371.00	.	.
-110.00	-411.00	.	.
-140.00	-421.00	.	.
-70.00	-491.00	.	.
20.00	-411.00	.	.
-70.00	-311.00	.	.
-250.00	-261.00	.	.
-270.00	-281.00	.	.
-310.00	-271.00	.	.
-240.00	-311.00	.	.
-70.00	-531.00	.	.
90.00	-571.00	.	.
180.00	-551.00	.	.
170.00	-651.00	.	.
250.00	-541.00	.	.
310.00	-591.00	.	.
80.00	119.00	.	.
-50.00	69.00	.	.
.	.	-1260.00	719.00
.	.	-580.00	729.00
.	.	-970.00	439.00
.	.	-980.00	489.00
.	.	-720.00	429.00
.	.	-700.00	429.00
.	.	-660.00	439.00
.	.	-630.00	449.00
.	.	-600.00	459.00
.	.	-580.00	459.00
.	.	-620.00	519.00
.	.	-530.00	409.00
.	.	-460.00	419.00
.	.	-490.00	399.00
.	.	-430.00	399.00
.	.	-470.00	369.00
.	.	-500.00	349.00
.	.	-460.00	329.00
.	.	-420.00	309.00
.	.	-340.00	349.00
.	.	-300.00	229.00
.	.	-280.00	149.00
.	.	-300.00	159.00
.	.	-310.00	179.00
.	.	-320.00	189.00
.	.	-350.00	219.00
.	.	-340.00	199.00
.	.	-360.00	249.00
.	.	-380.00	249.00
.	.	-390.00	209.00
.	.	-370.00	149.00
.	.	-350.00	129.00
.	.	-350.00	119.00
.	.	-280.00	89.00
.	.	-260.00	99.00
.	.	-310.00	89.00
.	.	-340.00	89.00
.	.	-390.00	99.00
.	.	-410.00	119.00
.	.	-410.00	129.00
.	.	-450.00	129.00
.	.	-430.00	149.00
.	.	-430.00	89.00
.	.	-460.00	109.00
.	.	-480.00	109.00
.	.	-510.00	129.00
.	.	-530.00	129.00
.	.	-460.00	179.00
