"V1","V2"
1503.2181919415,-2468.37046593418
1470,-2431
1090,-2191
710,-2061
400,-1921
110,-1901
-220,-1991
380,-1721
800,-1301
1090,-901
1490,-211
1400,409
1330,899
1130,1139
110,1229
-710,1229
-1380,1139
-1820,1209
-2000,1099
-2090,809
-2000,519
-1910,259
-1890,-11
-2220,99
-2730,259
-2980,259
-3212.56257449345,191.169249106076
-3481.20232337834,-190.125878343451
-3510,-231
-3910,-921
-4090,-1371
-4200,-2011
-4220,-2371
-4220,-2541
-3910,-2831
-3780,-2991
-2870,-3301
-2470,-3391
-2670,-3611
-3180,-4341
-3130,-4321
-3400,-4941
-2930,-5061
-2110,-5411
-1510,-5701
-1090,-5811
-730,-5831
-620,-5811
-490,-5411
-310,-4321
-90,-4611
290,-4921
710,-5141
800,-5141
1070,-5081
1420,-4741
1820,-4281
2180,-4121
2400,-3971
2420,-3701
2180,-3371
1710,-2701
