"V1","V2"
6020,609
5910,809
5310,1149
4730,1369
4330,1609
3850,1729
4380,2129
4980,2549
5760,3129
6220,3729
3930,5259
2870,3929
2730,5329
2690,5529
1450,5099
1620,4209
1250,5039
400,4329
-180,3749
-530,3189
-40,2859
130,2479
620,2209
1650,1859
1780,1809
1289.53488372093,1645.51162790698
911.747910230842,1396.51566810669
870,1369
420,969
-220,529
-310,189
330,-391
600,-251
420,-561
2130,-1391
2580,-791
2400,-1451
2980,-1521
3070,-1411
3220,-1101
3670,-1071
3890,-451
4130,-301
4050,-541
4110,-1051
4180,-1101
3930,-1431
4050,-1901
4650,-1411
4600,-1431
5290,-991
5690,-561
6180,9
6490,279
6000,659
