"V1","V2"
1780,-2481
1340,-2421
1110,-2471
1030,-2521
1300,-2551
1730,-2891
2170,-3371
2420,-3881
2550,-4431
2550,-4651
2070,-4711
800,-4841
-20,-4951
-620,-4981
-1090,-3881
-1170,-4151
-1370,-4301
-1520,-4531
-2040,-5071
-2280,-5061
-2310,-4901
-2750,-4561
-2840,-4401
-3670,-3781
-4330,-3251
-4850,-2751
-5190,-2251
-4780,-1911
-4310,-1401
-3350,-831
-2300,-521
-1290,-461
-1900,-321
-2410,-101
-3000,359
-3580,929
-4170,1539
-4330,1989
-3710,2439
-2060,3459
-1810,3649
-1710,3699
-1050,4459
-910,4709
-340,4709
-530,4059
-970,3509
-280,3659
470,3899
600,3419
630,2649
600,1849
700,1159
890,1119
850,889
1040,719
1040,1289
1230,1599
1630,1929
1650.00000000001,1969
2309.31332643966,2439.93809031404
2350,2469
2570,2459
3160,2689
3410,2629
3500,2079
3490,1949
3220,1909
3200,1569
3390,1029
3620,479
3800,439
3850,39
3920,-461
3950,-971
3940,-1621
3880,-2061
3810,-2201
3500,-2281
3240,-2371
2940,-2371
2640,-2401
