"","dataset","E","El","nflip","EOD","sqrt.E","mean.strain","mean.logstrain","OD.phi","OD.lambda","status","mess","time"
"74","adult_retina/data/nAChR-B2/GMBH568/R-CONTRA",0.00241619418579627,0.00241617921874344,0,5.30438508222423,0.0491546459527829,0.0621334279609815,0.0657172182628867,-1.47821734231641,1.55663664405772,"0","Success","87.384"
"75","adult_retina/_waste/GM150/SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in retistruct.read.markup(r): Markup file M.csv doesn't exist.
","0.047"
"76","adult_retina/_waste/GM154/SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in retistruct.read.markup(r): Markup file M.csv doesn't exist.
","0.061"
"77","adult_retina/_waste/GM157/SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in retistruct.read.markup(r): Markup file M.csv doesn't exist.
","0.055"
"78","adult_retina/_waste/GMA162/SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in idt.check.datadir(dir): SYS.SYS file doesn't exist
","0"
"79","adult_retina/_waste/GMA163/SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in idt.check.datadir(dir): SYS.SYS file doesn't exist
","0.001"
"80","adult_retina/_waste/GMA164/SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in idt.check.datadir(dir): SYS.SYS file doesn't exist
","0.001"
"81","adult_retina/data/CD-1/GMA161/R-CONTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in retistruct.read.markup(r): Markup file M.csv doesn't exist.
","0.198"
"82","adult_retina/data/CD-1/GMA161/SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in retistruct.read.markup(r): Markup file M.csv doesn't exist.
","0.229"
"83","adult_retina/data/CD-1/GMA255/R-CONTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in retistruct.reconstruct(r): subscript out of bounds
","463.599"
"84","adult_retina/data/CD-1/GMA549/R-CONTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in idt.check.datadir(dir): ALU.MAP file doesn't exist
","0"
"85","adult_retina/data/nAChR-B2/GMBH529/R-CONTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Error in if (sb/Sb > sf/Sf) {: missing value where TRUE/FALSE needed
","1.09"
