"V1","V2"
790,1869
660,1979
570,2299
420,2389
300,2599
210,2549
270,2379
90,2629
-50,2769
-270,2919
-540,3029
-770,3059
-1110,3079
-1400,3019
-1560,2879
-1780,2649
-2020,2429
-2290,2229
-2410,2209
-2640,2049
-2630,1889
-2600,1719
-2570,1559
-2480,1509
-2280,1509
-2230,1459
-2010,1289
-1600,929
-1680,879
-1810,849
-2010,679
-2160,489
-2320,219
-2430,119
-2580,39
-2610,-71
-2610,-201
-2500,-251
-2570,-321
-2530,-491
-2360,-521
-2350,-591
-2290,-671
-2290,-751
-2330,-751
-2450,-821
-2520,-1041
-2500,-1451
-1810,-1971
-1100,-2501
-870,-2581
-440,-2701
-200,-2811
10,-3141
340,-3221
460,-3041
570,-2911
660,-2921
810,-2691
910,-2431
950,-2151
980,-1881
1120,-1731
1140,-1941
1310,-2011
1680,-2121
2080,-2251
2380,-2311
2440,-2151
2580,-2141
2920,-2071
3080,-1981
3150,-1771
3170,-1531
3140,-1551
3250,-1471
3410,-1271
3480,-1111
3490,-921
3440,-681
3520,-381
3420,-181
3350,59
3360,439
3320,689
3310,899
3180,1129
3130,1219
3230,1239
3110,1379
3020,1679
3010,1919
2970,2019
3090,2159
3070,2249
3000,2279
2840,2239
2720,2279
2570,2239
2270,2229
1930,2219
1740,2149
1530,2029
1400,1829
1150,1699
890,1479
