"V1","V2"
4471.27101744603,2297.79793504506
4520,2309
5030,2669
5140,2929
4940,2999
5160,3199
5540,3399
5360,3179
5560,2999
6030,3599
6630,4509
4650,5399
3630,5799
3340,5109
3180,4399
3360,4199
3030,4289
2780,5109
2230,4399
1850,4329
940,4269
630,4309
1140,4399
1760,4599
2340,5599
2050,5929
720,4799
250,4199
-440,3289
630,2529
940,2399
1850,2199
1520,2089
560,1329
-150,489
740,-731
1120,-1111
1670,-801
1940,-711
2140,-201
2360,-711
2030,-1001
1830,-1311
1670,-1401
2050,-1511
2360,-1001
2270,-1601
2450,-1531
2720,-1111
3320,-601
3250,-1331
3780,-1401
4250,-1401
5520,-1201
5560,-271
6050,-911
6740,-311
5560,1089
5560,1379
4520,1489
3760,1869
3560,1999
3650,2109
