"V1","V2"
1596.18920456617,1954.90406251139
2110,1849
2950,1139
3890,629
5570,669
4510,2099
3040,3849
1640,4699
640,5739
550,4229
330,2849
130,2379
-30,1719
530,1119
40,1249
-270,1669
-510,1979
-1690,1809
-1540,2209
-780,2209
-560,3319
-2180,3629
-2340,3759
-2650,3739
-3360,3119
-2890,2699
-1670,2249
-2600,1119
-3140,629
-2870,-61
-2270,-1621
-270,-2151
130,-2701
860,-3041
1400,-3041
1040,-2481
930,-1841
40,-2221
200,-1701
330,-1371
690,-441
950,119
890,539
1240,49
1570,-881
2040,-1461
3220,-2261
4150,-2501
4910,-881
3820,179
2930,919
2330,1519
1890,1829
1640,1869
1493.33333333334,1898.33333333333
