"V1","V2"
1842.18307438661,1905.84377460966
1800,1879
1660,1859
1580,1879
1420,1729
1350,1569
1420,1509
1510,1459
1730,1369
1730,1149
2000,909
2180,639
2220,349
2290,39
2330,-341
2380,-651
2400,-871
2400,-1251
2380,-1431
2400,-1581
2260,-1581
1930,-1631
1420,-1781
1180,-1851
950,-1961
820,-2051
640,-1941
510,-1721
400,-1561
180,-1341
240,-1141
150,-961
20,-1031
-140,-1091
-270,-1211
-310,-1381
-400,-1631
-450,-1781
-450,-1891
-490,-1981
-510,-2071
-650,-2011
-890,-1761
-1180,-1541
-1540,-1321
-1820,-1051
-2220,-721
-2420,-521
-2580,-231
-2800,19
-2980,189
-3090,349
-3180,419
-2980,549
-2800,709
-2580,879
-2290,1079
-2020,1219
-1760,1369
-1620,1439
-1510,1549
-1740,1659
-1980,1769
-2360,1949
-2690,2189
-3070,2439
-3180,2569
-3020,2769
-2940,3039
-2620,3419
-2290,3659
-1980,4059
-1740,4309
-1560,4439
-1270,4749
-1140,4709
-850,4349
-670,4149
-450,3839
-340,3639
-290,3549
-200,3749
-180,4079
-110,4389
20,4769
130,5109
130,5169
440,5079
780,5019
840,5019
1310,5059
1640,4929
2290,4619
2730,4389
3380,3949
3840,3659
3460,3219
3710,3349
3930,3459
4060,3309
4200,3079
4350,2859
4420,2749
4150,2659
3550,2389
3240,2259
2800,2149
2530,2079
2260,2059
1910,1949
