"V1","V2"
3825.19678277664,-82.3834241093765
3780,-61
3290,299
2910,679
3580,939
3890,1079
4090,1249
4450,1989
4800,2429
5180,2899
3980,3369
2850,3719
2890,3699
2180,3769
1400,3679
450,3369
-200,2919
-510,2569
360,1169
-310,1369
-710,1319
-620,1339
-1240,1279
-1420,1099
-1110,-501
-1000,-1261
-930,-1411
-690,-1011
-620,-1431
-510,-1811
-310,-1971
-40,-1811
580,-1791
760,-2031
910,-2231
1110,-2391
1250,-2631
1200,-2791
1360,-2901
1690,-2681
1760,-2501
1910,-2231
1980,-1901
1760,-1751
1760,-1351
1690,-1191
1800,-1191
2090,-1591
2290,-1631
2310,-1461
2710,-1921
2690,-2081
2890,-2261
2960,-2661
2910,-2831
3290,-3031
4090,-2461
4890,-1861
5250,-1411
5250,-1211
4702.68901734104,-497.541040462423
