"V1","V2"
530,1729
80,2309
-30,2619
-230,2819
130,2709
440,2689
880,2799
1240,2979
1810,3759
2060,4069
2190,4469
1970,4509
900,5399
440,5669
80,5909
-210,5799
-610,5179
-1120,5709
-1540,5999
-2630,5379
-3500,4869
-3700,4709
-3630,4579
-3610,4439
-3590,4239
-3360,3999
-3120,3779
-2810,3689
-2610,3599
-2540,3619
-2500,3419
-2670,3309
-2830,3199
-2850,3179
-2940,3109
-3050,2999
-3230,2839
-3320,2779
-3540,2689
-3720,2669
-3830,2599
-3830,2419
-3790,2289
-3650,1999
-3540,1729
-3410,1239
-3230,909
-2990,929
-2650,1109
-2410,1239
-2300,1359
-2230,1489
-2270,1579
-2160,1419
-2140,1179
-1990,779
-1790,559
-1720,359
-1630,289
-1390,269
-540,109
460,-1
530,89
680,89
860,689
860,889
700,1289
