"V1","V2"
-2200,1069
-2200,959
-2310,819
-2470,689
-2510,509
-2600,359
-2510,219
-2440,69
-2270,-131
-2180,-201
-2070,-361
-1910,-471
-1800,-421
-1690,-381
-1800,-471
-1840,-561
-1890,-691
-1960,-841
-1980,-1041
-2070,-1311
-2160,-1511
-2090,-1761
-2090,-1871
-2000,-1911
-1890,-1981
-1780,-2041
-1710,-2201
-1690,-2331
-1690,-2491
-1510,-2511
-1380,-2531
-1180,-2441
-960,-2381
-710,-2291
-760,-2491
-670,-2691
-560,-2841
-360,-2961
-160,-3091
20,-3361
110,-3381
310,-3331
490,-3331
510,-3401
620,-3581
710,-3531
730,-3601
820,-3581
820,-3491
1130,-3441
1200,-3381
1310,-3401
1490,-3331
1620,-3271
1690,-3201
1620,-3071
1677.27272727273,-3013.72727272727
1648.63636363636,-2997.36363636363
1620,-2981
1530,-2801
1620,-2821
1840,-2871
1960,-2981
2040,-2891
2240,-2931
2420,-2871
2600,-2761
2730,-2671
2890,-2561
2960,-2421
3040,-2401
3160,-2361
3310,-2271
3440,-2131
3420,-2001
3400,-1841
3360,-1761
3240,-1691
3310,-1641
3310,-1581
3130,-1531
3040,-1491
3130,-1381
3240,-1331
3420,-1331
3710,-1331
3840,-1331
3840,-1241
3760,-1181
3910,-1111
3930,-1001
3910,-931
3930,-871
4000,-781
3930,-671
3840,-581
3840,-471
3820,-361
3910,-381
4000,-531
4040,-441
3960,-311
3910,-201
3930,-131
3910,69
3840,239
3820,399
3620,599
3530,709
3420,799
3240,889
3110,979
2930,1089
2730,1199
2530,1269
2440,1269
2330,1289
2240,1329
2160,1329
2090,1419
1910,1419
1840,1419
1730,1359
1600,1359
1400,1329
1220,1309
1020,1179
910,1129
760,1019
710,929
730,889
760,819
710,779
620,799
620,599
600,399
530,619
490,839
420,1069
360,1219
310,1399
220,1439
160,1329
40,1239
130,1379
90,1469
-70,1559
-110,1639
-270,1779
-380,1869
-580,1889
-640,1889
-690,1929
-840,2039
-980,2019
-1070,1979
-1180,1909
-1270,1819
-1270,1669
-1290,1639
-1380,1709
-1490,1759
-1580,1779
-1690,1729
-1800,1579
-1960,1509
-2000,1419
-1910,1289
-1960,1219
-2070,1239
-2110,1239
