"V1","V2"
-1150,-3101
-810,-3141
-570,-3211
-130,-3341
360,-3611
700,-3581
1160,-3341
1610,-3031
2030,-2741
2430,-2611
2830,-2341
3630,-1581
3520,-1361
3030,-831
2590,-361
2190,-251
2430,-101
2900,99
3430,299
3790,529
3830,499
3790,569
3830,949
3630,1819
3320,2549
2830,3369
2630,3789
2430,3769
1850,3349
1030,2479
810,2529
520,3349
140,4059
-190,4529
-210,4529
-750,4419
-1770,4169
-2460,3879
-3080,3639
-3680,3329
-4130,3099
-4170,2729
-3970,2419
-3700,2019
-3440,1479
-2970,1079
-2370,729
-1970,619
-2080,619
-2170,439
-2880,59
-3170,-211
-3840,-761
-4100,-1071
-4100,-1941
-2080,-4031
-1860,-4381
-1480,-3901
-1500,-3271
-1680,-3181
-1750,-2921
-1660,-2651
-1610,-2741
-1100,-3071
