"V1","V2"
-2590,-1471
-1630,-1981
-1340,-1801
-1210,-1801
-140,-1091
1080,279
1260,599
60,1419
-680,1619
-1170,1349
-1520,969
-920,459
-1720,769
-1850,909
-2140,839
-2520,999
-2050,1219
-1990,1479
-1770,1529
-1920,1839
-2450,2059
-2880,1349
-3540,879
-4280,349
-4740,-291
-3370,-831
-2970,-1161
-3450,-1201
-4630,-2001
-4570,-2521
-4140,-3401
-3630,-3651
-2770,-3381
-2280,-2801
-2570,-3851
-2720,-4321
-1920,-4381
-1810,-4401
-2320,-4491
-2740,-4451
-2770,-4761
-2410,-4781
-1740,-4871
-1280,-4761
-940,-4321
-100,-3981
370,-3761
60,-2981
-430,-2691
-1030,-2291
-1610,-2091
-1790,-2251
-2120,-1921
-2520,-1671
-2630,-1471
