"V1","V2"
962.661662827337,1111.14216354104
930,1149
490,1479
-110,1409
800,1609
1240,1839
1660,2169
1910,2479
1890,2459
2220,3059
2370,3149
2490,3609
1330,4479
-30,5209
-540,4989
-1000,4189
-1030,3789
-1470,4209
-2110,4609
-2359.99999999997,4678.99999999999
-2460,4679
-2510,4679
-2760,4389
-3760,3039
-4030,2459
-3870,2119
-3670,1919
-3670,1679
-3740,1439
-3980,1079
-3980,769
-3830,609
-3800,609
-3600,9
-3090,-791
-2690,-831
-2180,-741
-1470,-251
-1490,-881
-1453.5,-1346.37499999999
-1327.08715315434,-1694.01032882558
-1310,-1741
-1140,-1881
-540,-1721
460,-1541
1550,-1341
1510,-1031
1530,-521
1370,-31
1370,639
