"V1","V2"
-2149.30296932425,2658.46761086882
-2180,2619
-2310,2709
-2670,2599
-3290,2179
-3600,1999
-3490,1889
-4180,1509
-4980,949
-5400,419
-5690,-51
-5690,-201
-5040,-941
-4600,-1311
-3980,-1761
-3380,-2221
-2980,-1821
-2870,-1541
-2910,-1291
-2750,-1381
-2580,-1741
-2380,-2071
-2310,-2291
-2110,-2401
-1980,-2381
-1470,-2341
-180,-2071
-240,-2071
-70,-2051
220,-1981
650,-2071
1200,-2071
1200,-1941
960,-1341
730,-891
450,-601
250,-601
130,-671
200,-541
330,-381
850,-251
1330,-161
1730,-51
2130,89
2220,199
2330,749
2360,1949
2360,2259
2330,2929
2330,3379
2250,3979
2330,4059
1930,4129
1620,3999
1160,3799
850,3749
890,4399
730,5349
-70,5689
-640,5779
-1150,5929
-2180,6059
-3040,6129
-3780,6059
-4490,5839
-4470,5399
-4270,4799
-3670,3549
-3270,3239
-2870,3089
-2800,2999
-2440,2839
-2150,2839
-2110,2709
