"V1","V2"
1781.31559106018,3097.60577663111
1830,3109
2070,3349
2320,3839
2450,4379
2390,4929
2230,5419
2030,5839
1850,6019
320,5579
-410,5549
-500,4639
-410,4089
-60,3489
-660,3669
-950,3779
-1840,3469
-1900,2949
-2300,2419
-2130,2019
-1730,2529
-1660,2129
-1770,1929
-1500,1869
-970,1949
-410,2289
300,2469
-350,2149
-480,2089
-610,1439
-590,1489
-530,749
-170,489
50,909
100,39
360,-91
610,779
850,1039
900,549
1210,69
1650,-161
2610,469
3250,579
2940,1729
2340,2239
3100,1949
3450,1889
3810,1869
4100,2219
3670,2689
3070,2979
2320,2909
2050,2839
1390.62077443147,3006.16656422864
