"V1","V2"
919.547204795355,684.625466225748
940,639
1030,609
1340,769
2140,1149
2940,1989
3560,2859
2650,3499
1740,4189
1540,4209
1760,3699
1740,3279
1810,2929
1500,3389
1540,3699
1030,3879
740,3589
830,3209
740,3079
740,3239
360,3479
430,3769
250,3969
-1060,3529
-1970,3189
-1660,1989
-1590,1789
-1700,1589
-1570,1299
-1260,1209
-1390,1009
-1680,1009
-1970,1059
-2060,1279
-2550,1299
-3260,1169
-3460,1039
-2970,-471
-2260,-2541
-1100,-1301
-390,-3141
810,-2851
740,-2851
1340,-2671
850,-3051
540,-3391
450,-3471
1540,-3251
2300,-2701
2940,-1671
2850,-2671
3740,-1611
2630,-391
2050,-31
1450,369
1050,479
940,499
810,679
826.971279373369,891.140992167104
