"V1","V2"
926.758305050504,-195.269895141897
950,-151
1220,739
1260,1649
1040,2249
-980,1739
-1270,1429
-1470,919
-1670,449
-1560,-551
-1270,-841
-1650,-751
-2050,-281
-2780,319
-3360,539
-3070,-1481
-3070,-2151
-1960,-2351
-1760,-2061
-1670,-2351
-1870,-2751
-2380,-2971
-1760,-3771
-1450,-4061
-760,-4371
-160,-4081
20,-3841
350,-3551
440,-2861
950,-3461
930,-3751
1130,-4151
1530,-4171
1660,-4351
2820,-2881
3040,-2661
2330,-2351
2930,-2441
3150,-2351
3640,-1551
3020,-1061
2840,-951
2950,-951
2730,-771
2440,-661
1750,-661
530,-951
