"V1","V2"
860,-1051
770,-1141
640,-1211
550,-1231
350,-1301
390,-1321
590,-1411
680,-1501
950,-1721
1150,-1971
1330,-2141
1440,-2281
1510,-2411
1570,-2521
1530,-2611
1460,-2771
1440,-2921
1440,-3051
1510,-3191
1620,-3371
1620,-3431
1620,-3571
1550,-3611
1570,-3741
1550,-3811
1440,-3921
1310,-3971
1040,-4031
840,-4171
590,-4231
350,-4341
150,-4411
-120,-4521
-320,-4611
-490,-4611
-650,-4651
-810,-4681
-980,-4771
-1030,-4811
-1090,-4811
-1290,-4741
-1540,-4681
-1659.07216494845,-4569.86597938144
-1840.38610616432,-4547.20173672946
-1890,-4541
-2120,-4411
-2290,-4211
-2450,-4031
-2610,-3771
-2520,-3681
-2520,-3571
-2560,-3521
-2720,-3681
-3090,-3971
-3490,-4171
-3850,-4321
-3920,-4121
-4140,-3741
-4250,-3431
-4380,-3171
-4580,-2881
-4560,-2811
-4520,-2741
-4580,-2681
-4690,-2521
-4920,-2191
-4850,-1921
-4760,-1541
-4580,-1301
-4430,-1171
-4380,-1081
-4180,-1031
-4090,-1011
-4210,-811
-4230,-611
-4230,-431
-4360,-301
-4450,-191
-4610,-31
-4650,189
-4540,299
-4340,369
-4250,409
-4120,549
-3940,659
-3740,809
-3610,969
-3450,1149
-3340,1229
-3070,1429
-2980,1589
-2830,1719
-2650,1859
-2470,1859
-2160,1809
-1890,1719
-1740,1609
-1580,1569
-1560,1389
-1540,1279
-1490,1319
-1450,1369
-1360,1549
-1290,1749
-1210,2009
-1140,2189
-980,2369
-780,2389
-670,2279
-380,2149
-140,2059
170,1829
590,1589
1040,1319
1260,1209
1280,1119
1330,1099
1420,1149
1370,1229
1390,1299
1550,1209
1550,1059
1550,949
1550,769
1550,569
1530,389
1480,279
1280,259
1220,-171
1040,-541
990,-881
