"V1","V2"
-30,-2021
170,-2181
390,-2461
880,-2801
1170,-2981
1300,-3091
1550,-3221
1680,-3261
2040,-3221
2390,-3131
2970,-2911
3390,-2801
3790,-2581
4100,-2421
4300,-2311
4330,-2131
4150,-1861
4010,-1401
3860,-891
3840,-581
3660,-131
3550,219
3280,449
3040,449
2900,419
2680,339
2550,219
2500,109
2460,-91
2530,-381
2590,-581
2700,-781
2790,-1001
2770,-1131
2610,-981
2280,-861
2130,-621
1930,-511
2010,-311
2080,-61
1880,-21
1680,-221
1700,-381
1570,-241
1640,-91
1770,-1
1860,139
1860,219
2080,379
2370,489
2550,649
2680,689
2880,669
3170,779
3460,939
3730,1159
3970,1399
4260,1669
4440,1889
4530,2069
4390,2179
4260,2359
4170,2539
4040,2669
3840,2819
3590,3089
3530,3199
3480,3399
3370,3599
3260,3799
3170,4109
3190,4289
3170,4379
2990,4489
2880,4539
2730,4649
2590,4619
2350,4489
2080,4339
1840,3999
1730,3759
1590,3489
1460,3289
1350,3139
1260,3049
1330,2909
1350,2779
1550,2619
1700,2559
1880,2579
1970,2489
2060,2399
2150,2379
2280,2419
2370,2489
2460,2489
2460,2399
2350,2289
2260,2199
2130,2159
2080,2219
1930,2139
1680,2219
1530,2339
1480,2419
1210,2619
990,2779
770,2979
680,3069
550,3339
460,3399
210,3709
-140,4089
-320,4249
-450,4339
-540,4339
-870,4069
-1300,3909
-1520,3819
-1720,3649
-1960,3449
-2230,3269
-2430,3199
-2560,3019
-2900,2799
-2900,2689
-2940,2559
-2740,2159
-2540,1909
-2360,1739
-2070,1579
-1740,1399
-1470,1379
-1230,1289
-960,1089
-740,959
-650,869
-560,669
-500,289
-300,19
-210,-41
-160,-151
-230,-351
-120,-601
-140,-661
-360,-551
-430,-381
-450,-131
-560,-21
-700,109
-790,359
-900,669
-990,799
-1210,869
-1470,979
-1590,1069
-1650,1069
-2070,849
-2320,669
-2430,509
-2740,179
-2810,69
-3010,-91
-3230,-181
-3300,-291
-3390,-511
-3360,-661
-3070,-1151
-2830,-1491
-2560,-1821
-2250,-2181
-2100,-2331
-1870,-2461
-1590,-2801
-1300,-3091
-1210,-3351
-960,-3491
-850,-3711
-830,-3861
-540,-3621
-360,-3181
-250,-2751
-190,-2491
-120,-2221
-230,-2041
-340,-1861
-470,-1711
-250,-1841
