"V1","V2"
-600,3749
-460,3699
-380,3679
-260,3839
-220,4039
-130,4219
20,4349
180,4459
250,4499
420,4619
560,4659
760,4529
1000,4349
1250,4239
1470,4129
1740,3899
2070,3729
2360,3499
2650,3279
2820,3189
3020,3039
3180,2819
3400,2569
3490,2479
3400,2189
3220,1899
2940,1619
2670,1349
2290,1129
2090,1039
1870,949
1690,879
1600,859
1540,749
1420,659
1450,549
1490,459
1510,479
1620,419
1850,129
1980,-121
2090,-471
2200,-831
2270,-1181
2310,-1451
2310,-1671
2200,-1831
2020,-1871
1670,-1941
1250,-1981
800,-2051
400,-2101
160,-2141
-240,-2101
-490,-2071
-510,-2051
-710,-2071
-910,-2071
-1040,-2071
-1180,-2051
-1260,-1921
-1530,-1611
-1660,-1301
-1690,-1011
-1730,-721
-1750,-521
-1820,-361
-1890,-251
-1930,-431
-2180,-561
-2510,-701
-2710,-831
-2860,-921
-3090,-961
-3310,-1011
-3220,-831
-3220,-451
-3260,-71
-3290,219
-3330,569
-3400,839
-3440,1019
-3530,1169
-3490,1189
-3330,1259
-3180,1349
-3110,1369
-3000,1439
-3090,1549
-2930,1659
-2800,1699
-3060,1949
-3150,2189
-3110,2389
-2840,2699
-2640,3039
-2330,3299
-2110,3619
-1820,3769
-1600,3989
-1420,4059
-1220,3989
-1000,3819
-780,3769
-580,3769
