"V1","V2"
-1290,2629
-400,2899
-90,3029
730,3159
-200,3719
-710,4049
-910,4519
-960,4829
-800,4939
-1020,4919
-1000,5069
-930,5409
-360,5809
180,6189
360,6469
600,6469
1090,6159
1600,5669
1910,5119
2000,4809
2220,4899
2240,4989
2440,5159
2710,5539
3130,6269
3310,6009
3490,5589
3690,5339
3560,5739
3510,6119
3380,6269
3690,6389
3780,6409
4200,6319
4290,5829
4470,5209
4620,4899
4730,4849
4670,4669
4330,4409
4220,4299
3640,4249
4000,4229
4220,4069
4640,3789
4910,3809
5130,3699
5160,3409
5000,2959
4760,2759
4510,2669
4690,2539
4760,2249
4690,2099
4670,1829
4640,1629
4470,1609
4130,1609
3600,1669
3440,1739
3400,1989
3380,1919
3310,1919
3240,1919
3240,1959
3240,1899
3200,1809
3200,1759
3290,1559
3360,1009
3330,519
3070,589
2960,339
2600,139.000000000003
2200,-11
1820,229
1310,519
1040,809
1000,939
870,959
870,629
800,409
510,159
270,29
20,29
0,139
-330,429
-760,719
-910,919
-1160,959
-1360,1209
-1620,1249
-1820,1429
-1960,1939
-1330,2429
-1600,2519
-1240,2649
