"V1","V2"
2491.26536306249,1250.7658042204
2450,1279
2100,1479
1870,1509
2030,1639
2810,2349
3300,2839
3670,3079
3920,3619
3940,3729
3870,3859
3700,3989
2670,4949
2140,5239
1670,5679
1030,5019
870,4659
900,4529
760,4549
560,4989
140,5479
10,5549
-790,5019
-1770,4479
-2170,4109
-2590,3789
-2260,3369
-1750,2949
-1280,2679
-1100,2619
-1150,2419
-1840,1839
-2410,1329
-2190,989
-2150,659
-1210,-811
-680,-741
-40,-471
300,-161
300,169
270,349
120,439
-170,479
-10,549
300,439
360,329
360,189
430,-181
410,-651
650,-1071
2160,-981
2360,-941
2540,-871
3430,-831
3390,-31
3140,169
3340,329
2830,1019
