"V1","V2"
-2110,449
-1930,959
-1570,1449
-1840,2009
-2080,3049
-2060,3499
-1730,3719
-1710,3539
-1730,3229
-1510,3719
-1330,4159
-1040,4279
-640,4049
180,3959
830,3849
1360,3589
1870,3049
2070,2609
2070,2189
1980,1189
2290,1049
2470,829
2870,649
2870,319
2690,229
2410,-351
2410,-321
1720,-1521
1120,-1721
470,-1681
470,-1791
290,-2041
160,-2551
-310,-2411
-620,-2461
-840,-2571
-930,-2321
-1130,-2481
-1570,-2461
-2110,-2321
-2310,-2261
-2510,-2061
-2770,-2151
-3060,-1661
-3020,-1191
-2820,-1101
-2620,-351
-2370,319
-2220,229
-2110,499
