"V1","V2"
1249.37648923801,1381.12838577365
1200,1389
690,1389
70,1299
-360,1279
-420,1079
-530,1149
-1200,879
-1290,719
-1890,639
-2200,79
-2000,-721
-1800,-1051
-1560,-1321
-1200,-1561
-1050,-1721
-850,-1721
-980,-1481
-760,-1721
-620,-1721
-560,-1811
-600,-1881
-710,-1791
-780,-1881
-690,-1991
-290,-2211
-820,-2121
-1130,-2411
-1510,-2811
-1690,-3211
-1890,-3681
-1980,-3881
-2130,-3881
-2180,-4361
-2020,-4591
-1800,-4701
-1400,-4921
-1000,-5101
-820,-5161
-490,-5411
-220,-5591
70,-5761
220,-5851
510,-6051
690,-6051
840,-5921
1330,-5321
1470,-5321
1690,-4921
1910,-4411
2070,-4701
2220,-4881
2510,-5121
3000,-5121
3310,-5121
3530,-5011
3670,-4761
3710,-4561
3870,-4451
4020,-4161
4290,-3611
4420,-3161
4690,-2651
4690,-2011
4710,-1701
4780,-1391
4820,-1211
4690,-1121
4330,-991
3600,-721
3580,-611
3200,-591
2870,-611
2510,-681
2820,209
2750,679
2620,989
2350,1349
2200,1279
1890,1279
