"V1","V2"
1910,1779
1770,1759
1640,1709
1570,1729
1770,1559
1890,1419
2020,1309
2170,1219
2330,1129
2490,1019
2660,929
2890,729
3020,579
3130,449
3290,359
3350,249
3290,129
3260,69
3370,-1
3460,-241
3530,-491
3530,-601
3400,-711
3200,-751
2950,-821
2800,-871
2640,-1001
2420,-1131
2110,-1401
1890,-1441
1690,-1531
1490,-1581
1220,-1621
1020,-1691
840,-1781
750,-1871
600,-1891
490,-1891
350,-1821
240,-1671
60,-1531
-7.67441860464937,-1418.20930232558
-63.0103288255784,-1398.08715315434
-110,-1381
-250,-1241
-310,-1091
-340,-951
-400,-751
-780,-841
-800,-951
-960,-1071
-1180,-1271
-1360,-1471
-1470,-1671
-1690,-1711
-1850,-1601
-1940,-1441
-2030,-1181
-2140,-951
-2290,-731
-2380,-531
-2560,-221
-2740,69
-2980,489
-3160,819
-3090,979
-3030,1129
-2830,1379
-2630,1559
-2450,1709
-2180,1909
-1940,2089
-1690,2219
-1490,2359
-1580,2449
-1780,2599
-2110,2819
-2400,3069
-2650,3219
-2890,3469
-2940,3729
-2870,3849
-2710,3959
-2560,3999
-2450,3999
-2310,4089
-2030,4249
-1780,4359
-1510,4509
-1230,4649
-890,4819
-690,4849
-650,4849
-510,4669
-400,4489
-310,4219
-250,3999
-140,3979
-140,4019
-70,3929
-30,3849
40,3759
110,3759
150,3849
130,3959
110,4069
60,4129
130,4199
260,4359
370,4449
550,4529
710,4579
800,4729
820,4889
950,4929
1020,4979
1170,4929
1290,4819
1490,4649
1770,4469
2060,4269
2350,4159
2770,3959
3110,3849
3170,3779
3200,3599
3150,3329
3060,3129
2970,3049
2890,2869
2730,2709
2570,2469
2370,2249
2130,1979
