"V1","V2"
-1430,-3171
-1230,-3351
-1160,-3461
-870,-3391
-590,-3321
-250,-3281
100,-3241
410,-3321
770,-3351
1010,-3371
1210,-3391
1240,-3301
1370,-3241
1390,-3081
1460,-2901
1460,-2771
1440,-2481
1370,-2241
1240,-1921
1080,-1641
990,-1411
880,-1321
680,-1211
550,-1171
570,-1151
610,-1101
880,-971
970,-841
1170,-681
1370,-481
1530,-281
1610,-81
1640,189
1750,409
1880,519
1990,739
1990,849
2060,1049
2080,1139
1840,1339
1530,1609
1260,1809
1060,2049
930,2189
790,2339
590,2429
350,2589
260,2649
150,2609
-30,2539
-140,2479
-320,2339
-410,2229
-450,2119
-520,2029
-650,2079
-810,2189
-850,2279
-940,2389
-1050,2479
-1160,2519
-1300,2539
-1360,2559
-1450,2589
-1500,2519
-1540,2449
-1560,2409
-1630,2339
-1650,2319
-1790,2279
-1990,2229
-2140,2189
-2190,2159
-2300,2139
-2470,2099
-2520,2099
-2610,2079
-2740,1989
-2830,1879
-2810,1789
-2790,1649
-2830,1559
-2830,1429
-2850,1359
-2850,1229
-2850,1159
-2810,1119
-2740,1029
-2630,899
-2560,809
-2500,719
-2450,679
-2390,559
-2340,519
-2410,319
-2500,279
-2650,209
-2700,189
-2850,9
-2920,9
-2960,-61
-2990,-81
-3030,-151
-3070,-211
-3120,-371
-3160,-521
-3210,-521
-3230,-641
-3300,-791
-3430,-991
-3500,-1191
-3410,-1571
-3360,-1721
-3300,-1991
-3190,-2261
-3100,-2501
-2920,-2861
-2870,-2991
-2740,-3191
-2610,-3101
-2410,-2901
-2210,-2791
-2010,-2751
-1900,-2751
-1810,-2811
-1670,-2901
-1560,-2991
