"V1","V2"
1660,1019
1970,979
2150,869
2260,579
2860,379
3750,219
3550,1069
3460,1379
3370,1669
3130,2579
3150,2669
2730,2289
2460,2069
2750,2579
2950,3089
2460,3509
1550,2709
1840,3979
1840,4579
150,4689
460,4019
240,3579
150,3999
-450,4289
-850,3979
-1650,3419
-2470,2959
-2470,2269
-2670,2779
-3360,1819
-2050,1359
-1050,1289
-2160,1069
-1360,669
-560,669
-360,579
-450,89
-560,579
-650,579
-1070,269
-1470,109
-2160,-421
-2160,-601
-1650,-1091
-1360,-1891
-740,-2291
750,-2711
860,-1731
1840,-2441
4860,-1731
4860,-911
4750,-691
2550,-1601
2530,-2111
2440,-2041
2460,-1311
2150,-221
1950,179
2060,469
1750,709
1550,819
1260,869
1150,959
