"","dataset","E","El","nflip","EOD","sqrt.E","mean.strain","mean.logstrain","OD.phi","OD.lambda","status","mess","time"
"89","developmental_retina/data/C57BL6J/P22/single/GM512-1/R-CONTRA",0.00156143674398283,0.00155893784556692,0,6.80710939754583,0.0394833869566292,0.0950815080437732,0.0944617187810914,-1.45198985526427,1.18326192786727,"0","Success","1137.901"
"90","developmental_retina/data/C57BL6J/P4/AP/GM107-2/R-CONTRA",0.0150795624749692,0.0150795558717696,0,14.3536470668305,0.122798843120648,0.138240535016821,0.144910474017942,-1.32027792580948,2.15579884101833,"0","Success","2022.309"
"91","developmental_retina/data/C57BL6J/P4/AP/GM142-3/R-CONTRA",0.00737538883563635,0.00737538343958673,0,9.57276321395632,0.0858800526291567,0.0910631173715794,0.0927871247273289,-1.40372009019756,1.17282096129935,"0","Success","88.626"
"92","developmental_retina/data/C57BL6J/P4/AP/GM142-5/R-CONTRA",2.5940885981495,0.00560024875123712,1,6.90558160804025,0.0748348097561364,0.119461492208931,0.107563937888542,-1.45027119096943,1.28433799571999,"0","Success","1069.03"
"93","developmental_retina/data/C57BL6J/P4/ML/GM112-1/R-CONTRA",0.010941936189201,0.0109418909711003,0,9.5615624342298,0.104603494067361,0.117949118590429,0.120599023892852,-1.40391558068258,2.00525950414546,"0","Success","2828.45"
"94","developmental_retina/data/C57BL6J/P4/ML/GM112-2/R-CONTRA",0.00617549730859491,0.00617549665409058,0,14.6046856938285,0.0785843282982719,0.0894469241671942,0.0895975812339818,-1.31589647521868,-0.396543078865963,"0","Success","102.084"
"95","developmental_retina/data/C57BL6J/P4/ML/GM406-2/R-CONTRA",0.00249408597354865,0.00249406259922941,0,5.52923440833698,0.049940590697642,0.0594352759033988,0.060538748613684,-1.47429298125486,1.27200512392225,"0","Success","140.104"
"96","developmental_retina/data/C57BL6J/P4/ML/GM423-2/R-CONTRA",0.00203329478909891,0.00203329465943268,0,5.22781069199878,0.04509206869764,0.0491876023513451,0.0496909892423881,-1.47955381754855,2.29546849051678,"0","Success","86.877"
"97","developmental_retina/data/C57BL6J/P4/ML/GM423-3/R-CONTRA",1.38597230038061,0.0105637278599527,2,12.7442776742296,0.1027799973728,0.281376747434911,0.173725475980485,-1.34836672059119,0.162405497205403,"0","Success","1861.257"
"98","developmental_retina/data/C57BL6J/P4/single/GM107-3/R-CONTRA",0.00611538627616837,0.00611538172616382,0,7.37304062375817,0.0782009061722677,0.0868942842779283,0.0888013192037204,-1.44211249202702,0.298130052465233,"0","Success","214.048"
"99","developmental_retina/data/C57BL6J/P4/single/GM406-4/R-CONTRA",0.00183351147677372,0.0018335114671952,0,9.75790377679667,0.042819522033708,0.0475568081027454,0.0476472791737259,-1.400488777797,-1.96760321761514,"0","Success","85.168"
"100","developmental_retina/data/C57BL6J/P6/AP/GM112-4/R-CONTRA",0.0038965208463082,0.00389651947335009,0,11.4049205032106,0.0624221072485549,0.0736952281613225,0.0745791643036839,-1.37174291308566,-0.95077205562458,"0","Success","131.768"
"101","developmental_retina/data/C57BL6J/P6/AP/GM122-2/R-CONTRA",0.00537438501029336,0.0053743840297516,0,6.3297950285727,0.0733101904904878,0.0819836105079696,0.0830845213249079,-1.46032056256993,2.27975038123938,"0","Success","157.888"
"102","developmental_retina/data/C57BL6J/P6/AP/GM122-4/R-CONTRA",0.00506210825488694,0.00506210792567826,0,11.7606124673857,0.0711484920829546,0.0808143793898991,0.0814972960963475,-1.36553491718792,0.356300330148434,"0","Success","107.321"
"103","developmental_retina/data/C57BL6J/P6/AP/GM125-3/R-CONTRA",0.00437232183985776,0.00437232145069325,0,NA,0.0661235317469753,0.0767380143032482,0.0777963004170278,NA,NA,"0","Success","113.078"
"104","developmental_retina/data/C57BL6J/P6/AP/GM125-4/R-CONTRA",0.00588283071058936,0.00588282270624559,0,7.44475774914171,0.0766995613171652,0.0819223716257279,0.0836058926914682,-1.44086079205901,-0.717740740845886,"0","Success","178.287"
"105","developmental_retina/data/C57BL6J/P6/AP/GM125-5/R-CONTRA",0.00521548875186947,0.00521548802050176,0,7.55407430984569,0.072218335763861,0.0799470072860945,0.0812592521789592,-1.43895285814777,0.816869257946452,"0","Success","61.937"
"106","developmental_retina/data/C57BL6J/P6/AP/GM140-4/R-CONTRA",0.00786292489441327,0.00786291082068397,0,7.98555926849673,0.0886730557761712,0.101453397589148,0.104022075316235,-1.43142202494648,0.890307961055146,"0","Success","125.971"
"107","developmental_retina/data/C57BL6J/P6/AP/GM140-5/R-CONTRA",0.00445376254630213,0.00445376119591748,0,7.16365231298144,0.0667365057215125,0.0775161322048453,0.0787168042692472,-1.44576700746526,1.96451656230835,"0","Success","125.125"
"108","developmental_retina/data/C57BL6J/P6/AP/GM141-3/R-CONTRA",0.00452796547601269,0.00452796418758503,0,6.9821341997408,0.067290149261129,0.0744211543766784,0.0757083185814186,-1.44893509619332,2.20513694129057,"0","Success","100.782"
"109","developmental_retina/data/C57BL6J/P6/AP/GM141-4/R-CONTRA",4.00181635504076,0.00577546006458831,1,7.4402334064162,0.075996447710326,0.0865621533381506,0.0893918018917783,-1.44093975673606,0.419865216677926,"0","Success","62.967"
"110","developmental_retina/data/C57BL6J/P6/AP/GM143-3/R-CONTRA",0.00513157941240975,0.00513157663597303,0,15.6346709749517,0.0716350238080021,0.0794238996011029,0.0802888535429118,-1.297919840816,2.65171002520386,"0","Success","134.189"
"111","developmental_retina/data/C57BL6J/P6/AP/GM143-4/R-CONTRA",0.00484613720373357,0.00484613262280097,0,6.93743008196584,0.069614169698424,0.0806564367097282,0.0815587364061012,-1.44971533023769,1.64507342655454,"0","Success","81.679"
"112","developmental_retina/data/C57BL6J/P6/AP/GM143-5/R-CONTRA",0.00909306627043288,0.00909306212885073,0,13.6209854726704,0.095357548882355,0.11000809635295,0.112955048983631,-1.33306528293048,0.416309883268018,"0","Success","815.138"
"113","developmental_retina/data/C57BL6J/P6/ML/GM178-1/R-CONTRA",0.00828404201504248,0.0082840296072856,0,3.84209562935084,0.0910166446716511,0.097268608793882,0.101583718600774,-1.50373910788624,0.958323977904123,"0","Success","211.283"
"114","developmental_retina/data/C57BL6J/P6/ML/GM178-3/R-CONTRA",0.00449580076827547,0.00449579762186174,0,9.300523082716,0.0670507093315331,0.0744258550199919,0.0761646532095582,-1.40847157684377,1.80659853085149,"0","Success","178.37"
"115","developmental_retina/data/C57BL6J/P6/single/GM112-6/R-CONTRA",0.00562695770311146,0.00562695349090674,0,9.90897183988945,0.0750130221422037,0.0858804495081365,0.0884034302670243,-1.39785214270143,0.259559191972707,"0","Success","230.573"
"116","developmental_retina/data/C57BL6J/P6/single/GM118-1/R-CONTRA",0.0050962664459445,0.00509626204510303,0,10.0422428620245,0.0713881085693061,0.0855626124115956,0.0881130632362223,-1.39552612456767,1.24747533608844,"0","Success","339.798"
"117","developmental_retina/data/C57BL6J/P6/single/GM125-2/R-CONTRA",0.00329605294993403,0.00329605265826987,0,6.46684647984459,0.0574112589852362,0.0659493554757214,0.0665112311557948,-1.4579285635006,0.160826568415829,"0","Success","79.293"
"118","developmental_retina/data/C57BL6J/P8/AP/GM138-4/R-CONTRA",0.00688019153263449,0.00688019115825937,0,9.12451339840412,0.0829469177140379,0.0930084956709848,0.0938733117710459,-1.41154352535041,-1.38263283317739,"0","Success","150.1"
"119","developmental_retina/data/C57BL6J/P8/AP/GM138-5/R-CONTRA",0.00602323723893979,0.00602322602059193,0,5.90520643015201,0.0776094454341218,0.0872726522123424,0.0892636061171302,-1.4677310315788,0.0286499455311007,"0","Success","119.35"
"120","developmental_retina/data/C57BL6J/P8/AP/GM141-6/R-CONTRA",0.00822928491046569,0.00822887566048109,0,8.72822206733498,0.0907131504274936,0.124458416092916,0.128822900744452,-1.41846011387467,0.787279604719283,"0","Success","111.472"
"121","developmental_retina/data/C57BL6J/P8/AP/GM141-7/R-CONTRA",0.00705455161946406,0.00705455062699591,0,15.3505236339852,0.0839913723366627,0.0985744480551564,0.100086235194154,-1.30287914747665,1.22672101414947,"0","Success","153.349"
"122","developmental_retina/data/C57BL6J/P8/AP/GM257-1/R-CONTRA",0.00678828730676805,0.00678828208696198,0,11.7328355555795,0.0823910315930197,0.0926376597854569,0.0951857509958698,-1.36601971575498,1.3981097493492,"0","Success","197.961"
"123","developmental_retina/data/C57BL6J/P8/AP/GM257-2/R-CONTRA",0.00511130254752954,0.00511129974198034,0,6.84302162943825,0.0714933545301963,0.0806247006639154,0.0819161175312748,-1.45136306857601,1.76711727058063,"0","Success","77.732"
"124","developmental_retina/data/C57BL6J/P8/AP/GM257-3/R-CONTRA",0.00866969032818664,0.00866963419087445,0,10.128236670414,0.0931108704227087,0.111381785041822,0.115971598958315,-1.39402524947495,0.596080807497978,"0","Success","269.561"
