"V1","V2"
2240,3219
1990,2779
1860,2979
1750,3159
1730,3309
1260,3939
750,4739
390,5159
-90,5249
-70,5219
-360,5179
-890,5159
-1410,5159
-1810,5049
-2160,4979
-2720,4689
-3580,4179
-3940,4019
-3920,3739
-3740,3289
-3410,2739
-2960,2139
-2670,1799
-2070,1379
-1810,1249
-1670,1199
-1540,1199
-1760,939
-2050,799
-2850,359
-3340,-131
-3560,-311
-3810,-691
-4030,-1151
-4120,-1331
-4010,-1491
-3980,-1461
-3760,-1801
-2870,-2491
-2230,-2891
-1560,-3261
-1210,-3461
-885.909090909093,-3632.57754010696
-741.845198136845,-3335.9754079288
-720,-3291
-490,-2711
-450,-2441
-290,-2181
-50,-2441
420,-2911
950,-3221
1220,-3061
1770,-2751
2460,-2461
2970,-2151
3370,-1751
3710,-1511
3660,-1381
3190,-891
2890.81395348837,-784.837209302324
2759.02903378455,-811.19419324309
2710,-821
2530,-911
2570,-801
2730,-551
2910,-331
3170,-181
3640,69
3950,219
3950,509
4020,1469
3860,2909
3570,4379
3280,4249
2680,3779
