"V1","V2"
1190,2429
1030,2459
970,2629
990,2699
1010,2899
810,3059
550,3299
480,3389
-30,3549
-480,3589
-1030,3549
-1140,3389
-1520,2809
-1680,2749
-1650,2609
-1740,2589
-1970,2349
-1880,2119
-2050,1789
-2120,1749
-2120,1659
-2280,1409
-2430,1169
-2320,989
-2250,749
-2100,499
-2010,369
-1850,169
-1570,-51
-1340,-231
-1210,-301
-990,-321
-940,-451
-990,-651
-1010,-791
-970,-1101
-870,-1531
-740,-1931
-600,-2041
-420,-2051
-320,-2111
-230,-2111
-200,-2111
170,-2211
460,-2311
840,-2371
1300,-2421
1650,-2401
1900,-2241
2300,-2091
2700,-1941
2700,-1871
2770,-1711
2770,-1551
2840,-1281
2960,-921
3040,-621
3070,-391
2990,119
3280,319
3560,549
3730,809
3990,1249
4060,1369
3960,1459
3880,1789
3840,1979
3670,2139
3500,2289
3290,2439
3280,2559
3050,2759
2920,2939
2810,3079
2610,3079
2560,2969
2450,2979
2400,3099
2280,3099
2080,2979
1690,2669
1540,2569
1570,2699
1470,2709
1350,2689
1260,2609
1240,2529
1220,2449
